Keywords,Value 
KIM:YESSIR,2
"@D,2
"@FLYOVERCULTURE,4
"@MCSPOCKY:,2
"@NEWSWEEK:,2
"@SIR_RUFFY:,2
"B-BUT,2
"BBC,2
"BIG,16
"BIG",2
"BIGOTRY,",2
"BILL,2
"BIRDS,2
"BLEW,2
"BLUE,4
"BLUE",2
"BL…,2
"BOLD,12
"BORDER,2
"BOSS".,2
"BOY",2
"BOYCOTT",2
"BROWN,4
"BROWNSHIRTS,2
"BUBBLE",2
"BUBBLES",2
"BUGÜN,2
"BUILD,6
"BUIL…,2
"BULLIED",4
"BULLSH*T",2
"BUNCH,8
"BURGE:,2
"BUSH,2
"BUST,2
"BUT,26
"BUT".,2
"BUTTHURT,2
"BUY,14
"BUYER'S,2
"BUYS",4
"C",4
"C'EST,6
"C---",4
"CE,2
"CH",14
"CHIEF,2
"CHILDREN,2
"CHILDREN",2
"CHILL",2
"CHOOCHOO",2
"CHUCKY,2
"CIRCUS",4
"CLICK,2
"CLICKS,2
"CLUELESS",4
"CNN,8
"COLORED,2
"COLORFUL,2
"COME,136
"COMPLETE,8
"COOKIES",2
"COOKS",2
"CORP,2
"CORRUPT,8
"COSTS",2
"COSTUMES".,2
"COULD,2
"COUPLE",8
"COURT,4
"COVER,2
"CREDIBLE",6
"CREO,6
"CROOKED,10
"CROSSED,8
"CROWD",2
"CRUCIFIX",4
"CRUEL",32
"CURE,2
"CURT,2
"D",2
"DE,2
"DEEP,26
"DEEP",2
"DEEPLY,8
"DEFENSE,2
"DEFENSOR,2
"DEGREE",2
"DENOUNCED",2
"DEPLETED,2
"DERP:,2
"DESERVED",2
"DESIRE,4
"DESTROY,6
"DESTROY",14
"DET,4
"DETENER,6
"DEVLET,2
"DICK",2
"DID,6
"DIDN'T,12
"DIFFERENT,38
"DIVERSE,18
"DIVERSE",2
"DO,286
"DOES,4
"DOESN'T,34
"DOH!",2
"DOSSIER…,4
"DOUBLE,2
"DOWN,20
"DOZENS,2
"DREW,4
"DRIVE",2
"DRUGS,2
"DRUMP",2
"DUCK,4
"DUH!!!",2
"DUMB,2
"DUMP,2
"DÜN,6
"D…,2
"EFFECTS,2
"EGO,6
"EJERCICIO,2
"EL,26
"ELECT",2
"ELECTED",6
"ELECTED,",2
"ELLIOTT,2
"EL…,32
"EMOLUMENT",6
"END,4
"ENEMIES,40
"ENEMIES",4
"ENEMIES"?,2
"ENEMIGO,2
"ENEMIGOS,4
"ENEMMY"!,2
"ENEMY,330
"ENEMY",24
"ENEMY":,2
"ENEMY…,2
"ENEM…,2
"ENERGIZER,2
"ENFER,2
"ENNEMI,4
"ENOUGH,2
"ENTENDER...,2
"ENTRERÀ,2
"EOE,2
"ER,4
"ERIC,6
"ERREUR",,2
"ES,6
"ES…,2
"ET,2
"ET",2
"ETHNIC,2
"EUROPE,4
"EUROPE-EXPERT".,2
"EVEN,2
"EVER,6
"EVERY,14
"EVERYBODY,2
"EVIL,6
"EVIL",4
"EX-TRUMP,2
"EXCLUSIVE:,2
"EXCUSE",2
"EXECUTIVE,6
"EXPERIENCE,2
"EXPERTS",2
"EXPLIQUÉ",2
"EXPOSED:,2
"EXP…,2
"EXTREME,32
"EYE,4
"F,2
"F",4
"F---,6
"FBI,2
"FEL".,2
"FELIX,2
"FETS,2
"FIRST,4
"FIVE,4
"FIX",10
"FI…,16
"FLORID…,6
"FLYNN'S,6
"FOCUS,2
"FOCUS",2
"FOCUS".,2
"FOCUSES,8
"FOLLOWERS",2
"FOLLOWERS",,2
"FOWL,",2
"FOX,6
"FOX".,2
"FREDO",2
"FREE,72
"FREE",8
"FREEDOM,12
"FRENEMIES".,2
"FRENTE,2
"FRIENDLIER",2
"FRIENDS",4
"FUCK,56
"FUCK",4
"FUE,2
"FUERTE,12
"FULFILL,18
"FULL,6
"FUN?",2
"FUND,4
"FÜR,2
"F…,2
"GEFÄHRLICHSTE,2
"GENE",2
"GEORGE,4
"GET,142
"GET'M,4
"GETS,8
"GIFTED,2
"GIRLFRIEND".,2
"GIRLFRIENDS",2
"GIVE,38
"GIVEN,4
"GLORIOUS,2
"GLORY,2
"GO,30
"GOD,12
"GOD",2
"GOD'S,4
"GOLDEN,2
"GOOD,22
"GOOD",2
"GOOD"",2
"GOT,4
"GOVERNMENT,2
"GREED":,2
"GREET",2
"GROWN…,2
"GUIDE",10
"GULF,2
"GUY",14
"GUYS,2
"H.R.,4
"H.R.",2
"HBCUS,2
"HIER,4
"HIGH,2
"HIRE,14
"HMM...WE,6
"HOLD,40
"HOLE,2
"HOLLYWOOD,34
"HOME,2
"HOPEFUL",4
"HOR-DE-BORDY,2
"HORRIBLE,12
"HORRIBLE",18
"HORRIBLE.,2
"HORRIBLE.",2
"HORRIBLES,6
"HORRIBLES",4
"HOST",2
"HOUSE,2
"HOW,80
"HOWEVER,2
"HUEVOS."…,2
"HUGE",8
"HUH!",2
"HUNDREDS,10
"HUNDREDS",54
"HUNGER,2
"HURT,12
"HYPERBOLE,2
"I,948
"I",,2
"I'LL,2
"I'M,98
"I'VE,48
"IDIOT",2
"IF,78
"II,2
"IK,2
"IL,6
"ILL,2
"IM,2
"IMPRESSED",2
"IMPROPER,2
"IO,4
"IŞBIRLIĞI,2
"I’D,2
"I’M,4
"I…,2
"J",4
"J.K.,2
"JE,4
"JEDI,2
"JEG,2
"JERK,4
"JESUS,2
"JESUS",2
"JEWS",6
"JOB,2
"JOB",2
"JOBS,4
"JOBS...,2
"JOE,2
"JOE",62
"JOHN,6
"JOHN,,20
"JOKE",2
"JUDD,20
"JUDGE".,2
"JUDGES,2
"JUMP,8
"JUST,38
"JUSTICE",6
"JUVENTUDES,2
"KDYŽ,2
"KEEP,6
"KEEPS,2
"KILL,4
"KILLERS",2
"KNEW,12
"KOMMER,2
"KOOK,2
"L'HO,2
"LE,2
"LEFT,8
"LEFT",2
"LES,2
"LESSER,2
"LET,10
"LET'S,24
"LETZTE,8
"LET’S,6
"LGBT,2
"LIE,6
"LIES,2
"LIFE,40
"LIGHT,6
"LIKE,14
"LIL,4
"LIMLI",2
"LIVE,2
"LO,16
"LOCK,12
"LOCKER,6
"LOCO",2
"LOL,10
"LOLLIPOPS",2
"LOOK,122
"LOOK,,2
"LOOKS,6
"LORD,4
"LORD'S,100
"LOS,14
"LOSE",2
"LOTS,4
"LOUSY",10
"LOVE,8
"LOVE."…,2
"LOVED",2
"LOV…,4
"LOW,4
"LOWER,2
"LUCKY,10
"LUGENPRESSE!!,2
"LUGENPRESSE",2
"LÜGENPRESSE!",2
"M.,2
"ME,4
"ME"&,2
"MEDIOCRE,4
"MEJOR,4
"MELBOURNE,,2
"MELO,6
"MEMORY,2
"MEN",28
"MERE",2
"MEREZCO,2
"MESS",76
"MESS",,2
"MESS,",2
"MESS.",2
"MESS.”,4
"MI,8
"MIGHT,4
"MIKE,14
"MILES,18
"MIREN,10
"MIX,2
"MIXED,2
"MODEL,4
"MODO,2
"MOLLY",2
"MORE,128
"MOSLEM,20
"MOST,12
"MOSTEST",2
"MOTS,2
"MOVE,8
"MOVEMENT",4
"MOVEMENT.",8
"MOVIE,2
"MR,2
"MR",2
"MR.,10
"MR.XI,2
"MSM,2
"MULTIPLY,2
"MUR,4
"MURO"?,2
"MUROS,2
"MUSKET",2
"MUSLIM,12
"MUSLIM",2
"MUSLIMS,2
"MUST,2
"MY,40
"N'EST,2
"NEED,4
"NERI,2
"NET,2
"NEVER,46
"NEW,20
"NEW".,2
"NEWS,2
"NEWS",18
"NEWS"!!
CNN,2
"NEWS",,2
"NEWS".,6
"NEWSP…,76
"NEXT,6
"NIGEL,2
"NIKE,2
"NO,224
"NO!",2
"NO",18
"NO".,2
"NO'S",6
"NO,,2
"NO.,2
"NO."
HR:,2
"NOBODY,2
"NOBODY",2
"NOR,2
"NOT,256
"NOT!",8
"NOT",14
"NOTRE,2
"NOUS,2
"NOW,8
"N…,8
"O,6
"OBJECTIVE",2
"OBSERVE,2
"ODIO",2
"OH,14
"OH,,14
"OH...,2
"OJCZE,6
"OK",2
"OK?,2
"OL,2
"OMG,2
"OPEN,8
"OTRO,2
"OUR,36
"OUR",2
"OUT,2
"OUTSIDE,2
"OVERLY,2
"OVERT,2
"O…,2
"P*&SSY",2
"PC",4
"PC".,2
"PDTE.,2
"PEEL,2
"PELIGRO,2
"PEN,2
"PENCE,2
"PEOPLE,48
"PEOPLE",2
"PER,2
"PERCHÉ,2
"PICK,2
"PIG-WHORES",2
"PIGS,16
"PLUS,2
"POLL:,4
"POOP,2
"POOR,30
"POP,2
"POPS",2
"POR,2
"POS,2
"POS",2
"POST-WESTERN,4
"POTUS,2
"POTUS"=,2
"POWER",8
"POWERFUL",2
"PRES",2
"PRESERVE,102
"PRESIDENT,62
"PRESIDENT",20
"PRESIDENT'S,4
"PRESIDENT.",4
"PRESIDENTES",,2
"PRESIDENTS,2
"PRESIDENTS',4
"PRESIDEN…,14
"PRESS,4
"PRESS",10
"PREVENT,4
"PRIEBUS,4
"PRIVILEGE"…,2
"PRIZES",2
"PRO-LIFE",2
"PROBLEMS",2
"PRODUCTIVOS",2
"PROGRES",4
"PROGRESO,6
"PROGRESSIVE,2
"PROGRESSIVE",2
"PROTECT,2
"PROTEGER,2
"PROTEST,2
"PROTESTS",6
"PROUD,8
"PRVNÍCH,2
"PSYCH,4
"PUNCH,4
"PUSSY,2
"PUSSY",2
"PÁNICO,2
"QUEEN,2
"QUEEN-SIZE",2
"QUID,2
"QUIET,2
"QUIET",2
"QUÉ,14
"R",,2
"RE-ELECT,2
"RE-ELECT…,48
"REBUILD",2
"RECKLESS,",2
"RED,2
"REFUGEE,2
"REFUGEE",8
"REFUGEES,32
"REFUGEES",18
"REGIME,2
"REGIME",2
"REIGN,2
"RELIGIOUS,8
"REL…,2
"RENTRÉE,2
"REP.,2
"REPORT:,4
"REPORTER",30
"REPORTERS",2
"RESPECTED,2
"RETURNED,2
"REUTERS,2
"RIDE,4
"RIGGED,2
"RIGHT,2
"RIGHT"!,2
"RIOT",2
"ROCKEFELLER",2
"ROGUE,2
"ROOT,2
"ROPE.,2
"ROSJĘ,2
"ROTTEN",2
"ROY,4
"RT,16
"RULE,2
"RUSH,4
"RÄDD,2
"RÄV",2
"RÖKT,4
"R…,2
"S'IL,2
"SCHOOLS",2
"SCHUMER,50
"SCIENTIFIC,2
"SCIF,",2
"SCREW,2
"SCRUB",2
"SCUM,2
"SCUM",2
"SCUM.",6
"SE,4
"SECRET,4
"SECRET",2
"SECRETLY",2
"SECRETÁRIO,2
"SECURE",36
"SEE,2
"SEEMED,2
"SEGUIR,6
"SEMPER,2
"SEND,6
"SENIOR,2
"SENIOR…,2
"SENTENCE",2
"SERIOUSLY,2
"SETH,2
"SHOCK,4
"SHOOT,2
"SHOW,2
"SHOW",2
"SI,8
"SIEMPRE,2
"SILENT,4
"SILVER,2
"SLICK",2
"SLIGHTLY,2
"SLIPPERY,2
"SLOW,4
"SNL",2
"SO,52
"SOME,6
"SOME",2
"SOMEBODY'S,12
"SOMETIMES,4
"SORRY,14
"SORRY",2
"SOUNDED,2
"SOURCE,2
"SOURCE",2
"SOURCES",2
"SOURCES,",10
"SOVIETS,2
"SOY,2
"SPEED,2
"SPICER:,2
"SPICEY,4
"SPOOKED",2
"STELTER:,2
"STEP,8
"STILL,2
"STRESSES,2
"STRIP,2
"STR…,6
"STUDENT-TYPE,2
"STUDIED.",2
"STUPID,6
"STUPID",2
"STYLE",2
"STYLE"?,2
"STÅ,2
"SUCCESS".,2
"SUCCESSO,2
"SUDDENLY,2
"SUDDENLY.",2
"SUPERIOR,8
"SUPPORT,6
"SUPPORT",2
"SUPPORTERS?",2
"SUPPOSED,2
"SUPPRESS",2
"SURE,2
"SURGE",2
"SURVEY",2
"SU…,6
"SVERIGE",2
"SVERIGEVÄNNER",2
"SVT,,4
"SWEDEN,22
"SWEDEN!,2
"SWEDEN",6
"SWEDEN":,2
"SWEDEN'S,8
"SWEDEN,",2
"SWEDEN..,6
"SWEDEN?,8
"SWEDES,2
"TEEN".,2
"TELL,16
"TELLS,2
"TENS,6
"TEORIER",2
"TERRIBLE,2
"TERROR,60
"TERROR",2
"THIRD,2
"THOSE,6
"THOUGHTS,2
"THOUGHTS",2
"THREE,2
"THROUGH,4
"THROW,2
"TH…,2
"TIENE,2
"TNRUMP",2
"TREMENDOUS,16
"TREMENDOUSLY,2
"TRIBUTE",2
"TRIPWIRES",14
"TRUE,4
"TRUE",2
"TRUMP,778
"TRUMP!,4
"TRUMP",38
"TRUMP".,4
"TRUMP":,2
"TRUMP'S,228
"TRUMP,,16
"TRUMP-STYLE,2
"TRUMP/PENCE,2
"TRUMP:,2
"TRUMPENFREUDE"?UH,,2
"TRUMPER,2
"TRUMPER",2
"TRUMPERY".,2
"TRUMPETEERS",2
"TRUMPETS",2
"TRUMPS,4
"TRUMPWORLD,,2
"TRUMP’S,30
"TRUTH",36
"TRUTH,",2
"TR…,2
"TURN,2
"TWEET,2
"TWO,2
"TWO…,2
"T…,6
"U,2
"UDS,6
"UK,2
"UN,2
"UNDERREPORTED",2
"UNE,4
"UNF,28
"UNFREE",2
"UNFREE"?,2
"UNLIKE,2
"UNO,2
"UNPRESIDENTED!",2
"UNPRESIDENTED",2
"UOMO,4
"UPHOLD,2
"UR,20
"US,8
"US",2
"USE,10
"USED,2
"USEFUL,2
"US…,2
"UTTERLY,4
"U…,2
"V,2
"VERGETEN",2
"VERIFY,2
"VERTEIDIGT,4
"VERY,118
"VERY,,2
"VETTED",2
"VI,4
"VICE,4
"VICIOUS",2
"VICIOUS.",14
"VICTIMS,2
"VIDEO,2
"VIDEO:,4
"VIEWS",2
"VIOLENCE",6
"VIOLENT,2
"VIOLS",6
"VIRGIL:,2
"VOTE,2
"VOTER,82
"VOTER...,2
"VRIJE,6
"W",2
"WE,636
"WE",8
"WE'RE,132
"WE'RE",2
"WE'VE,4
"WEE",2
"WEEKEND,42
"WEIRD,4
"WELCOME,4
"WELL,10
"WELL,,2
"WELL-OILED,2
"WENGER,32
"WESTERN,4
"WE’RE,34
"WHICH,6
"WHO,16
"WHO",2
"WHO'S,2
"WHOLE,2
"WHORE",2
"WHO…,2
"WHY,58
"WH…,4
"WO,2
"WOMEN,18
"WOMEN'S,2
"WOMEN,,2
"WORDS,2
"WORDS",2
"WORK,6
"WORK",2
"WORLD,16
"WORST,4
"WORST",6
"WOULD,10
"WOULDN'T,2
"WR…,2
"WTF",2
"W…,6
"XXX,2
"YELLOW,2
"YES,6
"YES,,12
"YES-MEN",12
"YES.,2
"YO,8
"YOU,248
"YOU",8
"YOU'RE,78
"YOU'RE.",2
"YOU'VE,2
"YOUNG,4
"YOUR,8
"YOU’RE,2
"YUGE",12
"ZO,6
"[TRUMP'S],8
"[TRUMP],2
"¡NO,8
"¡QUE,16
"¿ESTÁN,4
"¿QUÉ,30
"É,2
"СКОЛЬКО,6
"सुन,4
"‘I,2
"“SCHWEDEN”:,2
"“SECURE”,4
"“¡NO,6
"…,22
#,146
#

HTTPS://T.CO/TQGTD723…,2
#!!,2
#"YOU'RE,2
##JOHNLEGEND,2
##MELBOURNE,2
##O'REILLY,2
##TRUMP,2
##TRUMP#,2
##ㅈㅌ,2
#'S,2
#'S
HTTPS…,2
#'S,,2
#*,2
#...,6
#012),2
#1,196
#1,,2
#1.,4
#10,2
#100%,2
#10:,4
#10VOR10,2
#1113305,2
#13:,2
#147SF,6
#18!

RIGHT,8
#18F,2
#18FEB,6
#1984,2
#19FEB,6
#19FEB…,2
#19H30RTS,2
#1:,4
#1U,18
#1…,2
#2,8
#2!,2
#2%GDP!,2
#2.,2
#2006,2
#2016,12
#2017,4
#2017?,4
#2025✔👪,2
#20F,6
#20FEB,10
#20FEB
HTTPS:/…,8
#20FEB…,2
#20FRE…,2
#21,2
#24ENE,2
#25THSEC4,2
#27,2
#287G,2
#29!,4
#2:,10
#3,8
#31,4
#32,2
#32👏
,2
#33,6
#39;RESET#39;,2
#3:,2
#3NOVICES,4
#4,38
#4

KEEP,4
#4!…,2
#4.,2
#41.,2
#44,30
#44.,2
#45,60
#45),40
#45.,4
#45MUSTGO,2
#45TRUMP,2
#45…,2
#46,2
#46!!!!,2
#4FMNEWS,2
#5,2
#5,,2
#55

FELLOW,4
#6,2
#7R9FUI,16
#8-8,2
#8NIH,2
#9/11,2
#9000,2
#90S,2
#9…,2
#BBC,16
#BBCBH,2
#BBCDP,10
#BBCDP,,2
#BBCNEWS,4
#BBCNEWS.,2
#BBCQT,2
#BBCWORLD,22
#BDNEWS24.COM,2
#BDS,4
#BFIF,4
#BHIVE,2
#BHM,4
#BHO,4
#BIBLE,2
#BIGBIRD,2
#BIGGEST,2
#BIGGOVSUCKS,8
#BIGJOHN…,2
#BIGLIES,2
#BIGLY,4
#BIGLYLOSER,10
#BIGLY…,2
#BIGOIL,4
#BIGOTRY,14
#BIKE,2
#BIKERS,2
#BIKERS4TRUMP,2
#BILD,6
#BILDERBURG,2
#BILLMOYERS,2
#BIRTHRIGHT!,2
#BJOERNOUT,4
#BLESSED,2
#BLICKCH,4
#BLM,16
#BLM,,2
#BLOCKED,4
#BLOOP!,10
#BLOTUS,38
#BLOTUS…,2
#BLUELIVES,2
#BLUNT,2
#BL…,4
#BMI,2
#BOE,2
#BOGUSPOTUS,2
#BOJ,2
#BOJKOTTFOXNEWS
#TRUMP,2
#BOKEP,6
#BOLLYWOOD,2
#BOMBS,2
#BOOGIE,2
#BOOK,2
#BOOKS,2
#BOOM!!,4
#BORDER,6
#BOSS,2
#BOTRUMP…,2
#BOYCOTT,8
#BOYCOTT45,2
#BOYCOTTCNN,18
#BOYCOTTCNN…,2
#BOYCOTTHOLLYWOOD,4
#BOYCOTTMERYLSTREEPMOVIES,2
#BOYCOTTTRUMP,28
#BOZOBUTT,2
#BO…,2
#BPW16,2
#BRE…,2
#BRICKELL,2
#BRIDGETTLT…,2
#BROKEN,2
#BRUSSELS,6
#BRUSSELS",2
#BR…,2
#BS,2
#BTC,2
#BUBBLESNOBS,2
#BUDGET,2
#BUGGED,2
#BUGIL,2
#BUILDT…,2
#BUILD…,2
#BUI…,10
#BULLERBÜ,2
#BULLY,4
#BUMBUMBUMBUM,2
#BUNDESWEHR,2
#BURNOL,2
#BUSH,12
#BUSTED,2
#BUSY,2
#BUT!,6
#BUTTHURT,2
#BUTTSCOUNTY…,2
#BUY!,2
#BUYCOTT,2
#BUZZ,8
#BUZZFEED,2
#BVBLOG:,2
#BÖRDERWÅLL.…,4
#BÖRSE,4
#B…,8
#C,2
#C4NEWS,20
#CBC,2
#CBNC,2
#CBS,8
#CBS'S,2
#CBSNEWS,8
#CBS_NEWS,4
#CBS…,4
#CCOT,96
#CCOT…,34
#CDMX,,2
#CDNPOLI,50
#CDNPOLI…,2
#CEELOGREEN,2
#CELEBS,2
#CELTICS,2
#CENKUYGUR...,2
#CENSORED,2
#CENSORSHIP,2
#CEO,2
#CERDOTRUMP,2
#CERSEI,2
#CESSPOOL,2
#CFB,2
#CFL,2
#CH,2
#CHDT…,2
#CHILDREN,2
#CHLSNOOKER,2
#CHOCHO,2
#CHOCHO…,4
#CHOICE,2
#CHOOSE,2
#CHOOSES,10
#CHROME:,2
#CHUCK,2
#CHUMELXHBO,12
#CIDH,2
#CIVILRIGHT,6
#CIVILRIGHTS,2
#CIVILRIGHTS.,2
#CLEVEL…,2
#CLOSEMOSQUES,2
#CLOWN,4
#CLOWN*
24/7,2
#CLOWNPOTUS,2
#CLOWNS,14
#CLTV,4
#CLUELESS,8
#CLUST…,2
#CMS,2
#CNBC,12
#CNN,270
#CNN
#USPRESIDENT,2
#CNN,,8
#CNN=COMEDY,2
#CNNBRK…,2
#CNNFOLLOWER,2
#CNNI,2
#CNNNEWS,2
#CNNNEWSROOM,4
#CNNSOTU,64
#CNNSOTU…,2
#CNNSPROBLEMS,2
#CNNSUCKS,4
#CNNTV,2
#CNN…,26
#COCKY,2
#COLLEGE,2
#COLUMBUSCIRCLE,2
#COMEDY,8
#COMEDY…,2
#COMEY,4
#COMEY…,2
#COMICS,2
#COMM…,4
#COMPULSIVELIERTRUMP,2
#COMPUTERS,2
#COOL,2
#COPPEDNEWS,2
#CORKER,2
#CORRUPT,10
#CORRUPTGOP,4
#CORRUPTTRUMP,2
#CORRUPTWH,2
#COST,4
#COUNTDOWN,6
#COUNTRIES,4
#COUP,4
#COUP",2
#COURTESY,6
#COURTS,2
#COVENEY,2
#COZYNEST,2
#CPC,14
#CPOL,2
#CPOLEMIQUE,2
#CP…,4
#CRIME,12
#CRIME',,2
#CRIMES,6
#CROOKED,,4
#CROOKEDTRUMP,2
#CROOKEDTRUMP'S,2
#CROOKEDTRUMP…,2
#CROOKS,2
#CROWDSIZE,2
#CRUZ,14
#CSR,2
#CTL,44
#CTMNEWS,2
#CTTR,2
#CTTRVIDEO,16
#CTTRVIDEO…,2
#CTVNEWS,2
#CULT,8
#CULTURE,2
#CUT,4
#CUT4TRUMP,2
#CUTEPUPIES,2
#C…,6
#D19,10
#D20,8
#DC,20
#DCCC,2
#DCEXCLUSIVESBLURB,2
#DD1P,4
#DDHH,2
#DEBODECIR,2
#DEBT.",2
#DECENCY,2
#DECENTRUMP,2
#DECIDER,2
#DEEZNUTS,2
#DEFENSE,2
#DEFUNDCBC,2
#DEFUNDNPR,2
#DEFUNDPP,8
#DELETED,2
#DELET…,2
#DEM,14
#DEMOCR…,2
#DEMOL,2
#DEMS,26
#DENIES#,2
#DENIZ,2
#DENM…,2
#DENVER,6
#DEPORT,4
#DEPORTED,2
#DEPORTSOROS',2
#DEPORTTRUMP,2
#DEPOTVERWIJTDEKETEL,2
#DESIGN,2
#DESIGNER,4
#DESIRDEPERCHOIR,4
#DESPOT?,2
#DEVELOPE…,2
#DEVELOPMENT,2
#DE…,16
#DF4E,2
#DHS,20
#DIESEL,2
#DIET,2
#DIFFERENT,2
#DIRECTTVNOW,2
#DIRTY,2
#DIRTYGOP,2
#DIXIE,2
#DJTJR,2
#DJTPOTUS,2
#DJT…,2
#DKPOL,6
#DN,2
#DNC,14
#DNC!,2
#DNC,,2
#DNCOMMIES,2
#DOBBS,156
#DOGS,2
#DOJ,4
#DOMESTICNEWS,2
#DOOM,2
#DOPEY,2
#DOPEYNETWORKS,2
#DORK,2
#DOSSIER,6
#DOURJOB,2
#DOW,106
#DOW20K,2
#DOW21K,2
#DOYOURJOB,44
#DOYOURJOB
HTTPS://T.CO/YUYVYKTG59,2
#DOYOURJOB!,2
#DOYOURJOB…,2
#DOZOTV,2
#DO_NOT_TRUST,2
#DQ17,2
#DRESS,4
#DRESSES,4
#DRIBBLE,2
#DRIVERS,2
#DROP,2
#DRUDGE,2
#DRUDGEREPORT,2
#DRUDGEREPORT…,4
#DRUGS,4
#DRUMPF,2
#DRUMPH,2
#DRY,2
#DSCC,2
#DSNUS,2
#DSNWORLD,2
#DTS,8
#DUECES,2
#DUH,2
#DUKE,18
#DUMBDEFENSE,2
#DUMFUK,2
#DUMMYTRUMPY,2
#DUMPEDTRUMP,2
#DUMPSTER,2
#DUMPTRUMP,142
#DUMPTRUMP,,4
#DUMPTRUMP:,2
#DUMPTRUMP…,4
#DUMPTRU…,4
#DURELLQUIZ,2
#DUTCH,2
#DW,2
#DÉTENTE,2
#D…,6
#EB1C,2
#EB5,2
#ECB,2
#ECO,4
#ECOMMERCE,2
#EDL,6
#EDM,2
#EDPT204,2
#EDTE…,2
#EE.UU.,2
#EEOC,2
#EEUU,32
#EEUU,,4
#EEUU:,2
#EEUU?
HTTPS://T.CO/E0GS9YRGFZ,2
#EEUU🇺🇸:…,2
#EFFECTTRUMP,2
#EGYPT,4
#ELB:,2
#ELECTLEPEN,18
#ELLE,2
#ELMUNDO,2
#EMB…,2
#EMM,4
#EMOLUMENTS,6
#EMS,2
#END,4
#ENDTIMES,14
#ENEMY,4
#ENEMY',2
#ENEMY.…,2
#ENERGY,2
#ENERGY,,2
#ENSW,2
#ENTIEMPOSDETRUMP,2
#ENTIEMPOSDETRUMP:,2
#ENTREPRENEUR,10
#ENTREPRENEURTIPS,2
#ENVIVO,8
#ENVIVO
TRUMP:,10
#EO,4
#EO…,4
#EPIC,2
#EPN,2
#ERICTRUMP2024,2
#ERIE,2
#ERNERDS,2
#ERNESTZORRO,2
#ERNST,2
#ESPECTÁCULOS,4
#ESPEJOPÚBLICO,2
#ESSEN,2
#ESSEN:,2
#ESSURE,2
#ESSURE!,2
#ESSURE…,2
#ESTERI,2
#ESTILOS,2
#ETFS,2
#ETHICS,2
#EU,26
#EU
HTTPS://T.CO/PTLKPUR9CE,2
#EU.,2
#EU;,2
#EUNUCHGOP,2
#EURO,2
#EUROPE,16
#EUROPE.,4
#EUROPE…,2
#EUROSPORTSNOOKER,2
#EU…,2
#EVER,4
#EVERIFY,2
#EVERYS...,2
#EVIL,4
#EVILD…,6
#EVIL…,30
#EVNEWS,2
#EVOLU…,2
#EV…,2
#EXCLUSIVE:,2
#EXECUTIVE,2
#EXECUTIVEORDER,2
#EXECUTIVEORDER12333,2
#EXECUTIVES,2
#EXPRESO,4
#EXPRESSEN,4
#EXP…,2
#F4F,4
#FB,12
#FBI,30
#FBICOVERUP,2
#FC,2
#FDR,2
#FDT,4
#FEC,2
#FED,14
#FED.,2
#FEEDLY,78
#FELIZLUNES,2
#FEW,2
#FF,2
#FIGHT,2
#FIGHTCLUB,2
#FIGHTS,2
#FILM,4
#FILMBF,2
#FILTERBUBBLE:,2
#FIRED,4
#FIREPENCE,2
#FIRESPICER,2
#FIRETILLERSO…,2
#FIRST100,8
#FIRST100…,2
#FIR…,4
#FIZZY,2
#FL,38
#FL
3RD,2
#FLIPFLOP,2
#FLORIDE,6
#FLOTUS,72
#FLOTUS?,2
#FLOWW,2
#FLYNN,46
#FLYNN!,2
#FLYNN,,4
#FLYNN.,2
#FLYNNRESIGNS,4
#FLYNN…,2
#FL…,4
#FML,2
#FN,10
#FNC,4
#FNR,2
#FNS,24
#FOCUS,2
#FOCUS:,2
#FOLLOW,20
#FOLLOW4FOLLOW,2
#FOLLOW4FOLLOW…,2
#FOLLOWER,2
#FOLLOWME,4
#FOMC,2
#FOOD,2
#FOSSILFUELS,2
#FOX,2
#FOX-NEWS,2
#FOX35,4
#FOXLIES,,2
#FOXNEWS,84
#FOXNEWS

